"DATA for Simon Gaechter and Jonathan Schulz: Intrinsic Honesty and Prevalence of Rule Violations across Societies, Nature (2016) doi:10.1038/nature17160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See README for list of variable labels and SUPPLEMENTARY INFORMATION for detailed descriptions, data sources and references",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,city,location,sessionid,subjectid,insample,prevexp,lowstakes,number,payouts,high,five,six,female,age,middleclass,urban,economics,religious,numknown,q_fair,q_norm,PRV2003,wgi_corrup1996,wgi_corrup2003,wgi_corrup2012,bs_SE1999,bs_SE2003,bs_SE2007,fh_polrights_s2003,fh_polrights_s2012,fh_polrights_2006woC,pol_xconst1990_2000,pol_xconst1890_1900,wgi_goveff2000,GDP_1990_2000,hfs_idv,iw_tradrat,iw_survself,tbl_exconst,tbl_legor_uk,tbl_legor_fr,tbl_pc_tr_tol_all,tbl_prim_newbound_1930,tbl_lyp_m80_00,tbl_lan,sw_fst_distance_weighted,lp_legor_uk,lp_legor_fr,lp_legor_ge,lp_legor_sc,ajr_africa,ajr_lat_abst,ajr_avexpr,ajr_logem4,ajr_asia,ajr_baseco,sr_Belief_in_Heaven,sr_Belief_in_Hell,p_elf85
Japan,,,,,0,,,,,,,,,,,,,,,,,-2.2531662,1.0467867,1.1798425,1.6129239,11.4,11.2,10.3,36,37,27,7,7,1.1947396,22.793438,46,1.96,-0.050000001,7,0,0,0.038588539,60.900002,9.9288521,-1,1299.3673,0,0,1,0,0,0.40000001,9.727273,,1,,0.38,0.3,0.01
Anguilla,,,,,0,,,,,,,,,,,,,,,,,,,,1.294341,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,
R_union,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,0,,,,,,,,,,,,,,,,,,,,-1.3351668,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,0,,,,,,,,,,,,,,,,,1.2310704,-1.0288098,-0.759776,-0.36075467,49.299999,47.5,43.900002,20,29,16,4.6363635,,-0.85829496,0.95010656,35,-0.76999998,-0.62,2.4054055,1,0,,5.5,6.9113626,0,2056.8291,1,0,0,0,1,0.16666667,6.6363635,,0,,,,0.81
Bulgaria,,,,,0,,,,,,,,,,,,,,,,,-0.40332901,-0.77576864,-0.071070135,-0.23682982,37.299999,35.599998,32.700001,36,34,27,7,1,-0.042481627,6.0272498,30,1.13,-1.01,4.0731707,0,0,-0.24843031,46.700001,8.720397,-1,515.06647,0,0,1,0,0,0.47777778,8.909091,,0,,0.28,0.25,0.22
Chad,,,,,0,,,,,,,,,,,,,,,,,1.9194137,-0.93073142,-1.2634054,-1.2504399,45.799999,44.200001,42.200001,8,5,5,1.9,,-0.75764412,0.95204389,,,,1.2727273,0,1,,,6.9006882,,1395.9336,0,1,0,0,1,0.16666667,,5.6347895,0,,,,0.86
Denmark,,,,,0,,,,,,,,,,,,,,,,,-2.9337585,2.3697023,2.4480214,2.3914623,18.4,18,16.9,40,40,28,7,3,2.0014808,23.212627,74,1.16,1.87,7,0,0,0.54901677,67.099998,9.9858179,1,347.49274,0,0,0,1,0,0.62222224,9.727273,,0,,,,0.06
Yugoslavia,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,3.0731707,,,-0.15685092,,,-1,530.14429,0,1,0,0,0,0.48888889,6.318182,,0,,,,
Estonia,,,,,0,,,,,,,,,,,,,,,,,-1.1719909,-0.059670597,0.78684914,0.98089159,,31.4,29.5,37,39,27,7,,0.7237851,7.6646562,60,1.27,-1.1900001,7,0,0,-0.063135169,,8.9736347,,886.53748,0,0,1,0,0,0.65555555,,,0,,0.21,0.2,0.53
Sierra Leone,,,,,0,,,,,,,,,,,,,,,,,1.0797477,-0.77355433,-0.9072026,-0.936095,48.599998,44.799999,42.900002,23,28,19,2.1428571,,-1.4601024,0.79934281,20,,,3.1944444,1,0,,3.5,7.0598426,,1381.199,1,0,0,0,1,0.092222221,5.818182,6.1800165,0,1,,,0.77
West Bank,,,,,0,,,,,,,,,,,,,,,,,,-0.93073142,-1.0987849,-0.7794376,,,,,,,,,-1.2575086,,,,,,,,,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of),,,,,0,,,,,,,,,,,,,,,,,0.094581187,-0.64648008,-0.29559132,-0.81680393,19.1,18.200001,17.299999,10,6,6,3.3636363,1,-0.45318612,5.6215954,41,-1.22,-0.44999999,2.1052632,0,1,0.22538354,3.8,8.4037771,0,634.18402,0,1,0,0,0,0.35555556,4.7727275,,1,,0.98,0.98,0.75
Monaco,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,31,31,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and The Grenadines,,,,,0,,,,,,,,,,,,,,,,,,,0.26931253,0.98277217,,,,32,36,,,,0.056902893,5.4028997,,,,,1,0,,56.900002,8.5510464,,1381.199,1,0,0,0,,,,,,,,,
Mali,,,,,0,,,,,,,,,,,,,,,,,0.3362748,-0.44192848,-0.54018015,-0.76139981,42.5,39.900002,39.900002,30,31,21,4.5999999,,-0.87230712,0.58726841,,-1.25,-0.079999998,2.3,0,1,,,6.722497,,1375.7853,0,1,0,0,1,0.18888889,4,7.986165,0,1,,,0.83
Kyrgyzstan,,,,,0,,,,,,,,,,,,,,,,,1.4009507,-0.47267726,-0.90027583,-1.0902107,41.400002,40.5,38.799999,11,16,12,4,,-0.54283845,1.2147444,,-0.15000001,-0.91000003,4,0,0,-0.1959006,,7.9311447,,865.80933,0,1,0,0,0,0.45555556,,,1,,0.7,0.81,0.66
Egypt,,,,,0,,,,,,,,,,,,,,,,,1.0750356,-0.06623698,-0.46562189,-0.57254177,35.5,35.400002,33.099998,7,11,6,3,,-0.15654629,3.1037042,25,-1.6900001,-0.63999999,3,0,1,0.11947722,18,8.0663137,-1,483.83298,0,1,0,0,1,0.30000001,6.7727275,4.2165623,0,1,1,1,0.03
United States of America,,,,,0,,,,,,,,,,,,,,,,,-2.7758603,1.565774,1.7660178,1.3768356,8.8000002,8.6999998,8.3999996,37,38,26,7,7,1.8426253,29.300488,91,-0.81,1.76,7,1,0,0.21062091,93,10.165529,1,0,1,0,0,0,0,0.42222223,10,2.7080503,0,1,0.87,0.73,0.57
R_union,,,,,0,,,,,,,,,,,,,,,,,,,,0.82233381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,0,,,,,,,,,,,,,,,,,,,0.26931253,0.98277217,,,,36,39,,,,-0.087771632,11.165295,,,,,1,0,,,9.0044622,,1301.4447,1,0,0,0,,,,,,,,,
American Samoa,,,,,0,,,,,,,,,,,,,,,,,,,,0.35032663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,0,,,,,,,,,,,,,,,,,-2.0412304,1.3134915,1.381171,1.5524995,22.700001,22,21.299999,39,40,27,7,7,1.7758046,22.23712,75,0.5,1.13,7,0,1,0.047031168,73,9.859231,0,314.48044,0,1,0,0,0,0.56111109,9.681818,,0,,,,0.59
Cameroon,,,,,0,,,,,,,,,,,,,,,,,1.1665741,-1.1580983,-0.86248064,-1.2383915,33.299999,31.700001,31.4,7,7,8,2,,-0.67402732,1.5353738,,,,2.3170731,0,1,,4.0999999,7.7215371,,1597.5798,0,1,0,0,1,0.06666667,6.4545455,5.6347895,0,1,,,0.88
Jamaica,,,,,0,,,,,,,,,,,,,,,,,0.09820132,-0.22141364,-0.54025203,-0.35957843,36.400002,34.400002,32.5,30,33,23,7,,0.009586633,6.3807712,39,,,7,1,0,,55,8.2033024,,1320.756,1,0,0,0,0,0.20166667,7.090909,4.8675346,0,1,,,0.42
Gibraltar,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
