"DATA for Simon Gaechter and Jonathan Schulz: Intrinsic Honesty and Prevalence of Rule Violations across Societies, Nature (2016) doi:10.1038/nature17160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See README for list of variable labels and SUPPLEMENTARY INFORMATION for detailed descriptions, data sources and references",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,city,location,sessionid,subjectid,insample,prevexp,lowstakes,number,payouts,high,five,six,female,age,middleclass,urban,economics,religious,numknown,q_fair,q_norm,PRV2003,wgi_corrup1996,wgi_corrup2003,wgi_corrup2012,bs_SE1999,bs_SE2003,bs_SE2007,fh_polrights_s2003,fh_polrights_s2012,fh_polrights_2006woC,pol_xconst1990_2000,pol_xconst1890_1900,wgi_goveff2000,GDP_1990_2000,hfs_idv,iw_tradrat,iw_survself,tbl_exconst,tbl_legor_uk,tbl_legor_fr,tbl_pc_tr_tol_all,tbl_prim_newbound_1930,tbl_lyp_m80_00,tbl_lan,sw_fst_distance_weighted,lp_legor_uk,lp_legor_fr,lp_legor_ge,lp_legor_sc,ajr_africa,ajr_lat_abst,ajr_avexpr,ajr_logem4,ajr_asia,ajr_baseco,sr_Belief_in_Heaven,sr_Belief_in_Hell,p_elf85
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3114,1,0,0,Reported 4,4,high payout,0,0,1,22,1,0,0,1,12.5,0,7,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3115,1,0,0,Reported 2,2,low payout,0,0,0,23,0,1,0,1,0,1,7.3333335,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3116,1,0,0,Reported 4,4,high payout,0,0,1,22,0,0,0,1,12.5,0,5,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3117,1,0,0,Reported 4,4,high payout,0,0,0,23,1,0,0,1,16.666666,1,6.6666665,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3118,1,0,0,Reported 2,2,low payout,0,0,0,23,0,1,0,1,4.1666665,1,9,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3119,1,0,0,Reported 4,4,high payout,0,0,0,23,1,0,0,0,8.333333,1,6.6666665,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3120,1,0,0,Reported 2,2,low payout,0,0,1,22,1,1,0,1,8.333333,1,6,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3121,1,0,0,Reported 5,5,high payout,1,0,0,24,1,0,0,1,0,0,7,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3122,1,0,0,Reported 4,4,high payout,0,0,0,20,0,1,0,1,4.1666665,0,6,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3123,1,0,0,Reported 3,3,high payout,0,0,0,22,1,0,0,1,4.1666665,1,8.333333,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_0544,3124,1,0,0,Reported 4,4,high payout,0,0,1,21,1,1,0,1,4.1666665,0,5,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3201,1,0,0,Reported 4,4,high payout,0,0,0,21,1,1,0,1,41.666668,0,8.666667,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3202,1,0,0,Reported 2,2,low payout,0,0,0,23,0,0,0,0,4.1666665,0,8.666667,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3203,1,0,0,Reported 5,5,high payout,1,0,0,21,0,0,1,1,62.5,1,6.3333335,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3204,1,0,0,Reported 3,3,high payout,0,0,0,25,0,0,0,1,0,0,4,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3205,1,0,0,Reported 5,5,high payout,1,0,0,25,0,0,0,1,29.166666,0,10,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3206,1,0,0,Reported 1,1,low payout,0,0,0,24,1,1,0,1,0,0,10,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3207,1,0,0,Reported 5,5,high payout,1,0,0,23,0,0,0,1,,0,10,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3208,1,0,0,Reported 5,5,high payout,1,0,1,23,0,0,0,1,12.5,0,8,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3209,1,0,0,Reported 2,2,low payout,0,0,0,21,1,1,0,1,12.5,1,7,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3210,1,0,0,Reported 5,5,high payout,1,0,1,21,1,1,0,0,20.833334,0,7.6666665,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3211,1,0,0,Reported 5,5,high payout,1,0,0,21,0,0,0,1,0,0,6.6666665,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3212,1,0,0,Reported 5,5,high payout,1,0,0,22,0,0,0,0,0,0,3.6666667,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3213,1,0,0,Reported 4,4,high payout,0,0,0,24,1,0,0,1,16.666666,0,4.6666665,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3214,1,0,0,Reported 4,4,high payout,0,0,0,22,0,1,0,1,25,1,9.666667,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3215,1,0,0,Reported 4,4,high payout,0,0,0,21,1,0,1,1,8.333333,1,1,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3216,1,0,0,Reported 3,3,high payout,0,0,0,23,1,0,0,1,20.833334,1,6,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3217,1,0,0,Reported 1,1,low payout,0,0,0,22,1,0,0,0,20.833334,1,7.3333335,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3218,1,0,0,Reported 5,5,high payout,1,0,1,23,0,1,1,1,8.333333,0,8,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3219,1,0,0,Reported 3,3,high payout,0,0,0,23,0,0,0,1,4.1666665,0,7,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3220,1,0,0,Reported 4,4,high payout,0,0,0,24,1,0,0,1,8.333333,0,10,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3221,1,0,0,Reported 3,3,high payout,0,0,0,23,0,0,1,1,12.5,0,4,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3222,1,0,0,Reported 4,4,high payout,0,0,0,22,1,1,1,1,12.5,0,7,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3223,1,0,0,Reported 5,5,high payout,1,0,0,22,1,0,1,1,8.333333,1,6.6666665,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
Tanzania,Dar es Salaam,University of Dar Es Salaam,121215_1034,3224,1,0,0,Reported 4,4,high payout,0,0,0,23,1,0,1,1,0,1,6.6666665,1.5519594,-1.0288098,-0.77901602,-0.85063475,58.599998,56.599998,53.700001,22,28,16,3,,-0.41993687,0.68487281,25,-1.84,-0.15000001,3,1,0,-0.064559668,9.1999998,6.2597609,0,2056.8291,1,0,0,0,1,0.06666667,6.6363635,5.6347895,0,1,0.92,0.96,0.92
UK,Nottingham,University of Nottingham,130205_0935,3301,1,10,0,Reported 4,4,high payout,0,0,1,19,1,0,0,0,0,1,8.333333,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3303,1,10,0,Reported 3,3,high payout,0,0,0,20,1,1,0,1,0,0,7.6666665,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3304,1,10,0,Reported 4,4,high payout,0,0,1,19,1,0,0,1,0,0,8.666667,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3305,1,10,0,Reported 5,5,high payout,1,0,0,21,1,0,1,0,0,1,7.3333335,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3306,1,10,0,Reported 4,4,high payout,0,0,1,30,1,1,0,0,0,1,8.666667,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3307,1,10,0,Reported 2,2,low payout,0,0,1,18,1,0,0,0,0,0,9,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3308,1,10,0,Reported 4,4,high payout,0,0,1,19,1,0,0,1,0,1,5,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3310,1,10,0,Reported 4,4,high payout,0,0,0,18,1,0,0,0,0,1,9.333333,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3314,1,10,0,Reported 3,3,high payout,0,0,1,18,0,0,1,1,0,1,9.333333,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3318,1,10,0,Reported 1,1,low payout,0,0,1,19,1,1,0,0,0,0,8.333333,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3319,1,10,0,Reported 2,2,low payout,0,0,0,18,1,0,0,0,5,0,8.333333,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_0935,3320,1,10,0,Reported 6,0,low payout,0,1,1,19,0,1,0,0,0,0,7,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1349,3401,1,10,0,Reported 5,5,high payout,1,0,1,19,1,1,0,1,0,0,8.666667,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1349,3402,1,10,0,Reported 2,2,low payout,0,0,0,19,1,1,0,0,6.25,0,9.333333,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1349,3404,1,10,0,Reported 3,3,high payout,0,0,1,20,1,1,0,1,0,1,7,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1349,3406,1,10,0,Reported 2,2,low payout,0,0,0,19,0,1,0,0,0,0,7.3333335,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1349,3410,1,10,0,Reported 4,4,high payout,0,0,1,19,1,0,0,0,6.25,0,6,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1349,3411,1,10,0,Reported 1,1,low payout,0,0,1,18,0,0,0,1,0,1,8.666667,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1349,3413,1,10,0,Reported 4,4,high payout,0,0,1,18,1,0,0,0,0,0,5.6666665,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1349,3414,1,10,0,Reported 1,1,low payout,0,0,1,19,1,0,0,0,0,0,7.6666665,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1349,3415,1,10,0,Reported 1,1,low payout,0,0,1,20,1,1,0,1,0,1,9.333333,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1516,3501,1,10,0,Reported 6,0,low payout,0,1,0,19,1,1,0,0,0,1,6,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1516,3503,1,10,0,Reported 4,4,high payout,0,0,0,20,1,1,0,0,0,0,8.333333,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
UK,Nottingham,University of Nottingham,130205_1516,3507,1,10,0,Reported 5,5,high payout,1,0,0,19,0,1,0,0,0,1,7,-2.9349816,2.1206098,2.0745456,1.6388192,12.8,12.5,12.2,40,40,27,7,7,1.8624891,20.20079,89,0.059999999,1.6799999,7,1,0,0.2898351,82.199997,9.7822323,1,336.96909,1,0,0,0,0,0.60000002,9.772727,0.93609333,0,,,,0.39
